guests,nights,meal_plan,room_type,lead_time,year,month,market,room_price,status
2,3,Meal Plan 1,Room_Type 1,224,2017,10,Offline,65.0,Not Canceled
2,5,Not Selected,Room_Type 1,5,2018,11,Online,106.68,Not Canceled
1,3,Meal Plan 1,Room_Type 1,1,2018,2,Online,60.0,Canceled
2,2,Meal Plan 1,Room_Type 1,211,2018,5,Online,100.0,Canceled
2,2,Not Selected,Room_Type 1,48,2018,4,Online,94.5,Canceled
2,2,Meal Plan 2,Room_Type 1,346,2018,9,Online,115.0,Canceled
2,4,Meal Plan 1,Room_Type 1,34,2017,10,Online,107.55,Not Canceled
2,4,Meal Plan 1,Room_Type 4,83,2018,12,Online,105.61,Not Canceled
3,4,Meal Plan 1,Room_Type 1,121,2018,7,Offline,96.9,Not Canceled
2,5,Meal Plan 1,Room_Type 4,44,2018,10,Online,133.44,Not Canceled
1,1,Not Selected,Room_Type 1,0,2018,9,Online,85.03,Not Canceled
1,3,Meal Plan 1,Room_Type 4,35,2018,4,Online,140.4,Not Canceled
2,3,Not Selected,Room_Type 1,30,2018,11,Online,88.0,Canceled
1,2,Meal Plan 1,Room_Type 1,95,2018,11,Online,90.0,Canceled
2,2,Meal Plan 1,Room_Type 1,47,2017,10,Online,94.5,Not Canceled
2,2,Meal Plan 2,Room_Type 1,256,2018,6,Online,115.0,Canceled
1,1,Meal Plan 1,Room_Type 1,0,2017,10,Offline,96.0,Not Canceled
2,4,Not Selected,Room_Type 1,1,2017,8,Online,96.0,Not Canceled
2,4,Meal Plan 1,Room_Type 1,99,2017,10,Online,65.0,Canceled
2,1,Meal Plan 1,Room_Type 1,12,2017,10,Offline,72.0,Not Canceled
2,4,Meal Plan 1,Room_Type 1,99,2017,10,Online,65.0,Canceled
1,1,Meal Plan 1,Room_Type 1,122,2018,11,Corporate,67.0,Not Canceled
2,6,Meal Plan 1,Room_Type 1,2,2018,3,Offline,85.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,37,2018,10,Offline,105.0,Not Canceled
2,3,Not Selected,Room_Type 1,130,2018,5,Online,94.5,Not Canceled
2,2,Meal Plan 1,Room_Type 1,99,2018,4,Online,114.3,Not Canceled
2,2,Meal Plan 1,Room_Type 1,60,2017,9,Offline,65.0,Not Canceled
1,2,Meal Plan 1,Room_Type 4,2,2018,5,Aviation,110.0,Canceled
1,3,Meal Plan 1,Room_Type 1,37,2017,11,Online,37.33,Canceled
2,2,Meal Plan 2,Room_Type 1,56,2017,9,Offline,82.0,Not Canceled
2,2,Meal Plan 1,Room_Type 4,3,2017,9,Online,177.5,Not Canceled
2,4,Meal Plan 1,Room_Type 1,107,2018,11,Online,87.5,Not Canceled
2,3,Meal Plan 1,Room_Type 2,56,2018,12,Online,82.44,Not Canceled
2,1,Not Selected,Room_Type 1,2,2018,1,Online,69.5,Not Canceled
2,2,Meal Plan 1,Room_Type 1,72,2018,10,Offline,85.5,Not Canceled
2,1,Not Selected,Room_Type 1,23,2018,4,Online,115.0,Not Canceled
1,3,Meal Plan 1,Room_Type 1,34,2018,6,Online,81.0,Canceled
2,1,Meal Plan 1,Room_Type 1,289,2017,10,Offline,67.0,Not Canceled
2,5,Not Selected,Room_Type 1,247,2018,11,Online,63.75,Canceled
2,3,Meal Plan 1,Room_Type 4,186,2018,7,Online,121.8,Canceled
2,4,Meal Plan 1,Room_Type 1,64,2018,11,Online,93.6,Not Canceled
2,2,Meal Plan 1,Room_Type 1,35,2018,6,Online,102.0,Not Canceled
3,3,Meal Plan 1,Room_Type 1,96,2018,4,Online,121.8,Not Canceled
2,2,Not Selected,Room_Type 1,41,2018,6,Online,98.1,Canceled
2,4,Meal Plan 1,Room_Type 4,55,2017,11,Offline,60.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,146,2017,12,Offline,75.0,Not Canceled
1,2,Meal Plan 1,Room_Type 1,32,2017,11,Offline,73.0,Not Canceled
2,1,Meal Plan 2,Room_Type 1,55,2018,4,Offline,104.0,Not Canceled
2,4,Not Selected,Room_Type 1,57,2018,11,Online,79.2,Not Canceled
1,4,Meal Plan 1,Room_Type 4,7,2018,12,Online,125.8,Not Canceled
1,7,Not Selected,Room_Type 1,124,2018,5,Online,87.95,Not Canceled
2,4,Meal Plan 2,Room_Type 1,169,2018,4,Online,106.0,Canceled
1,3,Meal Plan 1,Room_Type 1,6,2018,5,Online,136.67,Not Canceled
2,4,Meal Plan 1,Room_Type 4,51,2017,11,Offline,60.0,Not Canceled
2,1,Not Selected,Room_Type 1,13,2018,6,Online,89.0,Not Canceled
2,4,Meal Plan 1,Room_Type 1,100,2018,5,Online,136.0,Not Canceled
2,1,Not Selected,Room_Type 1,139,2018,7,Online,94.5,Not Canceled
2,3,Meal Plan 1,Room_Type 1,117,2018,12,Online,93.6,Not Canceled
2,5,Meal Plan 1,Room_Type 4,39,2018,4,Online,120.6,Canceled
2,3,Meal Plan 1,Room_Type 4,86,2018,4,Online,99.3,Not Canceled
4,1,Meal Plan 1,Room_Type 6,2,2018,9,Online,258.0,Not Canceled
1,3,Meal Plan 1,Room_Type 4,19,2018,5,Online,120.12,Not Canceled
1,2,Meal Plan 1,Room_Type 1,192,2018,6,Offline,95.0,Not Canceled
1,1,Meal Plan 1,Room_Type 1,2,2017,9,Complementary,0.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,86,2018,12,Offline,75.0,Not Canceled
2,3,Meal Plan 1,Room_Type 4,30,2018,10,Online,157.5,Not Canceled
2,2,Meal Plan 1,Room_Type 4,179,2018,6,Online,97.7,Not Canceled
2,2,Meal Plan 1,Room_Type 4,26,2018,4,Online,142.0,Canceled
2,1,Meal Plan 1,Room_Type 1,55,2018,4,Offline,80.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,74,2018,4,Online,85.5,Not Canceled
2,3,Meal Plan 1,Room_Type 1,143,2018,8,Offline,100.0,Not Canceled
2,1,Not Selected,Room_Type 1,34,2018,11,Online,88.0,Not Canceled
2,2,Meal Plan 1,Room_Type 1,30,2018,8,Online,122.85,Not Canceled
2,2,Meal Plan 1,Room_Type 1,177,2018,6,Online,100.0,Canceled
2,5,Meal Plan 1,Room_Type 4,34,2017,10,Offline,75.0,Not Canceled
2,5,Meal Plan 1,Room_Type 4,18,2018,3,Online,116.8,Not Canceled
3,2,Meal Plan 1,Room_Type 4,267,2018,12,Online,121.5,Not Canceled
2,3,Meal Plan 1,Room_Type 1,64,2018,6,Online,111.9,Not Canceled
3,7,Meal Plan 1,Room_Type 4,155,2018,6,Online,121.55,Canceled
2,5,Meal Plan 1,Room_Type 1,46,2018,3,Offline,75.0,Not Canceled
4,2,Meal Plan 1,Room_Type 6,83,2018,4,Online,159.3,Canceled
