category,rating,reviews,size,installs,type,price,content_for,last_updated,year
art_and_design,4.1,159,19.0,10000,Free,0.0,Everyone,2018-01-07,2018
art_and_design,3.9,967,14.0,500000,Free,0.0,Everyone,2018-01-15,2018
art_and_design,4.7,87510,8.7,5000000,Free,0.0,Everyone,2018-08-01,2018
art_and_design,4.5,215644,25.0,50000000,Free,0.0,Teen,2018-06-08,2018
art_and_design,4.3,967,2.8,100000,Free,0.0,Everyone,2018-06-20,2018
art_and_design,4.4,167,5.6,50000,Free,0.0,Everyone,2017-03-26,2017
art_and_design,3.8,178,19.0,50000,Free,0.0,Everyone,2018-04-26,2018
art_and_design,4.1,36815,29.0,1000000,Free,0.0,Everyone,2018-06-14,2018
art_and_design,4.4,13791,33.0,1000000,Free,0.0,Everyone,2017-09-20,2017
art_and_design,4.7,121,3.1,10000,Free,0.0,Everyone,2018-07-03,2018
art_and_design,4.4,13880,28.0,1000000,Free,0.0,Everyone,2017-10-27,2017
art_and_design,4.4,8788,12.0,1000000,Free,0.0,Everyone,2018-07-31,2018
art_and_design,4.2,44829,20.0,10000000,Free,0.0,Teen,2018-04-02,2018
art_and_design,4.6,4326,21.0,100000,Free,0.0,Everyone,2018-06-26,2018
art_and_design,4.4,1518,37.0,100000,Free,0.0,Everyone,2018-08-03,2018
art_and_design,3.2,55,2.7,5000,Free,0.0,Everyone,2018-06-06,2018
art_and_design,4.7,3632,5.5,500000,Free,0.0,Everyone,2018-07-31,2018
art_and_design,4.5,27,17.0,10000,Free,0.0,Everyone,2017-11-07,2017
art_and_design,4.3,194216,39.0,5000000,Free,0.0,Everyone,2018-08-03,2018
art_and_design,4.6,224399,31.0,10000000,Free,0.0,Everyone,2018-07-30,2018
art_and_design,4.0,450,14.0,100000,Free,0.0,Everyone,2018-04-20,2018
art_and_design,4.1,654,12.0,100000,Free,0.0,Everyone,2018-03-20,2018
art_and_design,4.7,7699,4.2,500000,Free,0.0,Everyone 10+,2018-07-12,2018
art_and_design,,61,7.0,100000,Free,0.0,Everyone,2018-03-07,2018
art_and_design,4.7,118,23.0,50000,Free,0.0,Everyone,2018-07-07,2018
art_and_design,4.8,192,6.0,10000,Free,0.0,Everyone,2018-04-25,2018
art_and_design,4.7,20260,25.0,500000,Free,0.0,Everyone,2017-10-11,2017
art_and_design,4.1,203,6.1,100000,Free,0.0,Everyone,2018-03-21,2018
art_and_design,3.9,136,4.6,10000,Free,0.0,Everyone,2018-07-12,2018
art_and_design,4.1,223,4.2,100000,Free,0.0,Everyone,2017-08-22,2017
art_and_design,4.2,1120,9.2,100000,Free,0.0,Everyone,2018-07-12,2018
art_and_design,4.1,227,5.2,50000,Free,0.0,Everyone,2018-05-31,2018
art_and_design,4.5,5035,11.0,100000,Free,0.0,Everyone,2018-07-19,2018
art_and_design,4.2,1015,11.0,100000,Free,0.0,Everyone,2018-01-06,2018
art_and_design,4.7,353,4.2,10000,Free,0.0,Teen,2018-04-27,2018
art_and_design,3.8,564,9.2,100000,Free,0.0,Everyone,2018-07-11,2018
art_and_design,4.7,8145,24.0,500000,Free,0.0,Everyone,2018-08-02,2018
art_and_design,4.1,36639,,5000000,Free,0.0,Everyone,2018-07-14,2018
art_and_design,4.7,158,11.0,10000,Free,0.0,Everyone,2017-11-29,2017
